TAG	TEXT	COMMENT	AUDIOFILE
GAMEPLAY_EMOTE_HERO_01_ERROR_TARGET	That's not a valid target.		VO_HERO_01_ERROR10_29.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_TAUNT	A minion with Taunt is in the way.		VO_HERO_01_ERROR11_20.wav
GAMEPLAY_EMOTE_HERO_01_EVENT_LUNAR_NEW_YEAR	Happy New Year!		VO_HERO_01_Event_LunarNewYear.wav
GAMEPLAY_EMOTE_HERO_01_WINTERVEIL_GREETINGS	Happy Feast of Winter Veil!		VO_HERO_01_HAPPY_HOLIDAYS_05.wav
GAMEPLAY_EMOTE_HERO_01_EVENT_FIRE_FESTIVAL	Light the pyres!		VO_HERO_01_FIRE_FESTIVAL_32.wav
GAMEPLAY_EMOTE_HERO_01_PIRATE_DAY	YAR-DE-HARDY HAR YE HAR!		VO_HERO_01_PIRATE_DAY_33.wav
GAMEPLAY_EMOTE_HERO_01_HALLOWS_END	Happy Hallow's End.		VO_HERO_01_HAPPY_HALLOWEEN_04.wav
GAMEPLAY_EMOTE_HERO_01_NOBLEGARDEN	Happy Noblegarden!		VO_HERO_01_HAPPY_NOBLEGARDEN_17.wav
GAMEPLAY_EMOTE_HERO_01_GREETINGS_RESPONSE	Heh. Heh. Hello!		VO_HERO_01_MIRROR_GREETINGS_01.wav 
VO_HERO_01_HAPPY_NEW_YEAR_06	Happy New Year!		VO_HERO_01_HAPPY_NEW_YEAR_06

# HERO_02 is Thrall (Shaman)
GAMEPLAY_EMOTE_HERO_02_CONCEDE	You win this one, friend.		VO_HERO_02_Concede_07.wav
GAMEPLAY_EMOTE_HERO_02_GOOD_GAME	Good Game.		VO_HERO_02_GG_15.wav
GAMEPLAY_EMOTE_HERO_02_GREETINGS	Greetings, friend.		VO_HERO_02_Greetings_01.wav
GAMEPLAY_EMOTE_HERO_02_LOW_CARDS	I'm almost out of cards!		VO_HERO_02_LowCards_18.wav
GAMEPLAY_EMOTE_HERO_02_NO_CARDS	I'm out of cards!		VO_HERO_02_NoCards_19.wav
GAMEPLAY_EMOTE_HERO_02_OOPS	That was a mistake.		VO_HERO_02_Oops_03.wav
GAMEPLAY_EMOTE_HERO_02_SORRY	Sorry that happened.		VO_HERO_02_Sorry_06.wav
GAMEPLAY_EMOTE_HERO_02_START	For Doomhammer!		VO_HERO_02_Start_09.wav
GAMEPLAY_EMOTE_HERO_02_MIRROR_START	For the Frostwolves!		VO_HERO_02_MIRROR_START_ALT_03
GAMEPLAY_EMOTE_HERO_02_THANKS	I thank you.		VO_HERO_02_Thanks_05.wav
GAMEPLAY_EMOTE_HERO_02_THINK1	Hmmm...		VO_HERO_02_Thinking1_12.wav
GAMEPLAY_EMOTE_HERO_02_THINK2	I wonder...		VO_HERO_02_Thinking2_13.wav
GAMEPLAY_EMOTE_HERO_02_THINK3	Hmm... What to do...		VO_HERO_02_Thinking3_14.wav
GAMEPLAY_EMOTE_HERO_02_THREATEN	The Elements will destroy you!		VO_HERO_02_Threaten_04.wav
GAMEPLAY_EMOTE_HERO_02_TIMER	There is little time!		VO_HERO_02_Time_11.wav
GAMEPLAY_EMOTE_HERO_02_WELL_PLAYED	Well played.		VO_HERO_02_Well Played_02.wav
GAMEPLAY_EMOTE_HERO_02_WOW	That's incredible!		VO_HERO_02_WOW_12_ALT.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_FULL_MINIONS	I have too many minions.		VO_HERO_02_ERROR07_26.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_GENERIC	I can't do that.		VO_HERO_02_ERROR12_31.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_HAND_FULL	My hand is too full!		VO_HERO_02_ERROR06_25.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_I_ATTACKED	I already attacked.		VO_HERO_02_ERROR04_23.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_JUST_PLAYED	Give that minion a turn to get ready.		VO_HERO_02_ERROR05_24.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_MINION_ATTACKED	That minion already attacked.		VO_HERO_02_ERROR03_22.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_NEED_MANA	I don't have enough Mana.		VO_HERO_02_ERROR02_21.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_NEED_WEAPON	I need a weapon.		VO_HERO_02_ERROR02_20.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_PLAY	I can't play that.		VO_HERO_02_ERROR08_27.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_STEALTH	I can't target Stealthed minions.		VO_HERO_02_ERROR09_28.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_TARGET	That's not a valid target.		VO_HERO_02_ERROR10_29.wav
GAMEPLAY_EMOTE_HERO_02_ERROR_TAUNT	A minion with Taunt is in the way.		VO_HERO_02_ERROR11_21.wav
GAMEPLAY_EMOTE_HERO_02_EVENT_LUNAR_NEW_YEAR	Happy New Year, friend!		VO_HERO_02_Event_LunarNewYear.wav
GAMEPLAY_EMOTE_HERO_02_WINTERVEIL_GREETINGS	Happy Feast of Winter Veil!		VO_HERO_02_HAPPY_HOLIDAYS_06.wav
GAMEPLAY_EMOTE_HERO_02_EVENT_FIRE_FESTIVAL	A festival for the elements!		VO_HERO_02_FIRE_FESTIVAL_33.wav
GAMEPLAY_EMOTE_HERO_02_PIRATE_DAY	Yar, matey. It be Pirate, uh, Day.		VO_HERO_02_PIRATE_DAY_34.wav
GAMEPLAY_EMOTE_HERO_02_HALLOWS_END	Happy Hallow's End.		VO_HERO_02_HAPPY_HALLOWEEN_05.wav
GAMEPLAY_EMOTE_HERO_02_NOBLEGARDEN	Happy Noblegarden, friend.		VO_HERO_02_HAPPY_NOBLEGARDEN_18.wav
GAMEPLAY_EMOTE_HERO_02_GREETINGS_RESPONSE	Good to see you.		VO_HERO_02_MIRROR_GREETINGS_01.wav
VO_HERO_02_HAPPY_NEW_YEAR_07	Happy New Year, friend!		VO_HERO_02_HAPPY_NEW_YEAR_07


# HERO_03 is Valeera Sanguinar (Rogue)
GAMEPLAY_EMOTE_HERO_03_CONCEDE	I give up.		VO_HERO_03_Concede_07.wav
GAMEPLAY_EMOTE_HERO_03_GOOD_GAME	Good Game.		VO_HERO_03_GG_15.wav
GAMEPLAY_EMOTE_HERO_03_GREETINGS	The pleasure is mine.		VO_HERO_03_Greetings_01.wav
GAMEPLAY_EMOTE_HERO_03_LOW_CARDS	I'm almost out of cards!		VO_HERO_03_LowCards_18.wav
GAMEPLAY_EMOTE_HERO_03_NO_CARDS	I'm out of cards!		VO_HERO_03_NoCards_19.wav
GAMEPLAY_EMOTE_HERO_03_OOPS	Mistakes were made.		VO_HERO_03_Oops_03.wav
GAMEPLAY_EMOTE_HERO_03_SORRY	Sorry about that.		VO_HERO_03_Sorry_06.wav
GAMEPLAY_EMOTE_HERO_03_START	Watch your back.		VO_HERO_03_Start_09.wav
GAMEPLAY_EMOTE_HERO_03_MIRROR_START	I always do.		VO_HERO_03_MIRROR_START_02
GAMEPLAY_EMOTE_HERO_03_THANKS	Thank you.		VO_HERO_03_Thanks_05.wav
GAMEPLAY_EMOTE_HERO_03_THINK1	Hmmm...		VO_HERO_03_Thinking1_12.wav
GAMEPLAY_EMOTE_HERO_03_THINK2	I wonder...		VO_HERO_03_Thinking2_13.wav
GAMEPLAY_EMOTE_HERO_03_THINK3	So many options...		VO_HERO_03_Thinking3_14.wav
GAMEPLAY_EMOTE_HERO_03_THREATEN	I will be your death!		VO_HERO_03_Threaten_04.wav
GAMEPLAY_EMOTE_HERO_03_TIMER	I must choose soon!		VO_HERO_03_Time_11.wav
GAMEPLAY_EMOTE_HERO_03_WELL_PLAYED	Well played.		VO_HERO_03_Well Played_02.wav
GAMEPLAY_EMOTE_HERO_03_WOW	Incredible.		VO_HERO_03_WOW_11.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_FULL_MINIONS	I have too many minions.		VO_HERO_03_ERROR07_26.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_GENERIC	I can't do that.		VO_HERO_03_ERROR12_31.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_HAND_FULL	My hand is too full!		VO_HERO_03_ERROR06_25.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_I_ATTACKED	I already attacked.		VO_HERO_03_ERROR04_23.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_JUST_PLAYED	Give that minion a turn to get ready.		VO_HERO_03_ERROR05_24.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_MINION_ATTACKED	That minion already attacked.		VO_HERO_03_ERROR03_22.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_NEED_MANA	I don't have enough Mana.		VO_HERO_03_ERROR02_21.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_NEED_WEAPON	I need a weapon.		VO_HERO_03_ERROR02_20.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_PLAY	I can't play that.		VO_HERO_03_ERROR08_27.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_STEALTH	I can't target Stealthed minions.		VO_HERO_03_ERROR09_28.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_TARGET	That's not a valid target.		VO_HERO_03_ERROR10_29.wav
GAMEPLAY_EMOTE_HERO_03_ERROR_TAUNT	A minion with Taunt is in the way.		VO_HERO_03_ERROR11_20.wav
GAMEPLAY_EMOTE_HERO_03_EVENT_LUNAR_NEW_YEAR	Happy New Year!		VO_HERO_03_Event_LunarNewYear.wav
GAMEPLAY_EMOTE_HERO_03_WINTERVEIL_GREETINGS	Happy Feast of Winter Veil.		VO_HERO_03_HAPPY_HOLIDAYS_05.wav
GAMEPLAY_EMOTE_HERO_03_FIRE_FESTIVAL	Happy Midsummer.		VO_HERO_03_FIRE_FESTIVAL_32.wav
GAMEPLAY_EMOTE_HERO_03_PIRATE_DAY	Yarrr!		VO_HERO_03_PIRATE_DAY_33.wav
GAMEPLAY_EMOTE_HERO_03_HALLOWS_END	Happy Hallow's End.		VO_HERO_03_HAPPY_HALLOWEEN_04.wav
GAMEPLAY_EMOTE_HERO_03_NOBLEGARDEN	Happy Noblegarden.		VO_HERO_03_HAPPY_NOBLEGARDEN_17.wav
GAMEPLAY_EMOTE_HERO_03_GREETINGS_RESPONSE	It's all mine! Huh.		VO_HERO_03_MIRROR_GREETINGS_01.wav
VO_HERO_03_HAPPY_NEW_YEAR_06	Happy New Year!		VO_HERO_03_HAPPY_NEW_YEAR_06

# HERO_04 is Uther Lightbringer (Paladin)
GAMEPLAY_EMOTE_HERO_04_CONCEDE	The victory is yours.		VO_HERO_04_Concede_07.wav
GAMEPLAY_EMOTE_HERO_04_GOOD_GAME	Good Game.		VO_HERO_04_GG_15.wav
GAMEPLAY_EMOTE_HERO_04_GREETINGS	Well met!		VO_HERO_04_Greetings_01.wav
GAMEPLAY_EMOTE_HERO_04_LOW_CARDS	I'm almost out of cards!		VO_HERO_04_LowCards_18.wav
GAMEPLAY_EMOTE_HERO_04_NO_CARDS	I'm out of cards!		VO_HERO_04_NoCards_19.wav
GAMEPLAY_EMOTE_HERO_04_OOPS	That was a mistake.		VO_HERO_04_Oops_03.wav
GAMEPLAY_EMOTE_HERO_04_SORRY	I am sorry.		VO_HERO_04_Sorry_06.wav
GAMEPLAY_EMOTE_HERO_04_START	I will fight with honor!		VO_HERO_04_Start_09.wav
GAMEPLAY_EMOTE_HERO_04_MIRROR_START	I will command the light.		VO_HERO_04_MIRROR_START_01
GAMEPLAY_EMOTE_HERO_04_THANKS	Thank you.		VO_HERO_04_Thanks_05.wav
GAMEPLAY_EMOTE_HERO_04_THINK1	Hmmm...		VO_HERO_04_Thinking1_12.wav
GAMEPLAY_EMOTE_HERO_04_THINK2	I wonder...		VO_HERO_04_Thinking2_13.wav
GAMEPLAY_EMOTE_HERO_04_THINK3	Let me think...		VO_HERO_04_Thinking3_14.wav
GAMEPLAY_EMOTE_HERO_04_THREATEN	Justice demands retribution!		VO_HERO_04_Threaten_04.wav
GAMEPLAY_EMOTE_HERO_04_TIMER	I must move quickly!		VO_HERO_04_Time_11.wav
GAMEPLAY_EMOTE_HERO_04_WELL_PLAYED	Well played.		VO_HERO_04_Well Played_02.wav
GAMEPLAY_EMOTE_HERO_04_WOW	By the Holy Light!		VO_HERO_04_WOW_06.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_FULL_MINIONS	I have too many minions.		VO_HERO_04_ERROR07_26.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_GENERIC	I can't do that.		VO_HERO_04_ERROR12_31.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_HAND_FULL	My hand is too full!		VO_HERO_04_ERROR06_25.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_I_ATTACKED	I already attacked.		VO_HERO_04_ERROR04_23.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_JUST_PLAYED	Give that minion a turn to get ready.		VO_HERO_04_ERROR05_24.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_MINION_ATTACKED	That minion already attacked.		VO_HERO_04_ERROR03_22.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_NEED_MANA	I don't have enough Mana.		VO_HERO_04_ERROR02_21.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_NEED_WEAPON	I need a weapon.		VO_HERO_04_ERROR02_20.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_PLAY	I can't play that.		VO_HERO_04_ERROR08_27.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_STEALTH	I can't target Stealthed minions.		VO_HERO_04_ERROR09_28.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_TARGET	That's not a valid target.		VO_HERO_04_ERROR10_29.wav
GAMEPLAY_EMOTE_HERO_04_ERROR_TAUNT	A minion with Taunt is in the way.		VO_HERO_04_ERROR11_20.wav
GAMEPLAY_EMOTE_HERO_04_EVENT_LUNAR_NEW_YEAR	Happy New Year, Champion!		VO_HERO_04_Event_LunarNewYear.wav
GAMEPLAY_EMOTE_HERO_04_WINTERVEIL_GREETINGS	Happy Feast of Winter Veil, champion!		VO_HERO_04_HAPPY_HOLIDAYS_14.wav
GAMEPLAY_EMOTE_HERO_04_FIRE_FESTIVAL	Happy Midsummer Fire Festival!		VO_HERO_04_FIRE_FESTIVAL_32.wav
GAMEPLAY_EMOTE_HERO_04_PIRATE_DAY	Avast, ya scurvy scallywags!	VO_HERO_04_PIRATE_DAY_33.wav
GAMEPLAY_EMOTE_HERO_04_HALLOWS_END	Happy Hallow's End, Champion!	VO_HERO_04_HAPPY_HALLOWEEN_13.wav
GAMEPLAY_EMOTE_HERO_04_NOBLEGARDEN	Happy Noblegarden, Champion!	VO_HERO_04_HAPPY_NOBLEGARDEN_17.wav
GAMEPLAY_EMOTE_HERO_04_GREETINGS_RESPONSE	Yes! Well met, indeed!		VO_HERO_04_MIRROR_GREETINGS_02.wav
VO_HERO_04_HAPPY_NEW_YEAR_15	Happy New Year, Champion!		VO_HERO_04_HAPPY_NEW_YEAR_15
VO_HERO_04_Male_Human_Start_Arthas_01	You are not my king yet, boy.

# HERO_05 is Rexxar (Hunter)
GAMEPLAY_EMOTE_HERO_05_CONCEDE	Well fought.  I concede.		VO_HERO_05_Concede_07.wav
GAMEPLAY_EMOTE_HERO_05_GOOD_GAME	Good Game.		VO_HERO_05_GG_15.wav
GAMEPLAY_EMOTE_HERO_05_GREETINGS	Greetings, traveler.		VO_HERO_05_Greetings_01.wav
GAMEPLAY_EMOTE_HERO_05_LOW_CARDS	I'm almost out of cards!		VO_HERO_05_LowCards_18.wav
GAMEPLAY_EMOTE_HERO_05_NO_CARDS	I'm out of cards!		VO_HERO_05_NoCards_19.wav
GAMEPLAY_EMOTE_HERO_05_OOPS	That didn't quite hit the mark.		VO_HERO_05_Oops_03.wav
GAMEPLAY_EMOTE_HERO_05_SORRY	My apologies.		VO_HERO_05_Sorry_06.wav
GAMEPLAY_EMOTE_HERO_05_START	Let the hunt begin!		VO_HERO_05_Start_09.wav
GAMEPLAY_EMOTE_HERO_05_MIRROR_START	Bring it on!		VO_HERO_05_MIRROR_START_01
GAMEPLAY_EMOTE_HERO_05_THANKS	Thanks.		VO_HERO_05_Thanks_05.wav
GAMEPLAY_EMOTE_HERO_05_THINK1	Hmmm...		VO_HERO_05_Thinking1_12.wav
GAMEPLAY_EMOTE_HERO_05_THINK2	I wonder...		VO_HERO_05_Thinking2_13.wav
GAMEPLAY_EMOTE_HERO_05_THINK3	Hrmmmmm...		VO_HERO_05_Thinking3_14.wav
GAMEPLAY_EMOTE_HERO_05_THREATEN	I will hunt you down!		VO_HERO_05_Threaten_04.wav
GAMEPLAY_EMOTE_HERO_05_TIMER	Time moves quickly!		VO_HERO_05_Time_11.wav
GAMEPLAY_EMOTE_HERO_05_WELL_PLAYED	Well played.		VO_HERO_05_Well Played_02.wav
GAMEPLAY_EMOTE_HERO_05_WOW	Astounding!		VO_HERO_05_WOW_06.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_FULL_MINIONS	I have too many minions.		VO_HERO_05_ERROR07_27.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_GENERIC	I can't do that.		VO_HERO_05_ERROR12_32.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_HAND_FULL	My hand is too full!		VO_HERO_05_ERROR06_26.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_I_ATTACKED	I already attacked.		VO_HERO_05_ERROR04_24.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_JUST_PLAYED	Give that minion a turn to get ready.		VO_HERO_05_ERROR05_25.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_MINION_ATTACKED	That minion already attacked.		VO_HERO_05_ERROR03_23.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_NEED_MANA	I don't have enough Mana.		VO_HERO_05_ERROR02_22.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_NEED_WEAPON	I need a weapon.		VO_HERO_05_ERROR02_21.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_PLAY	I can't play that.		VO_HERO_05_ERROR08_28.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_STEALTH	I can't target Stealthed minions.		VO_HERO_05_ERROR09_29.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_TARGET	That's not a valid target.		VO_HERO_05_ERROR10_30.wav
GAMEPLAY_EMOTE_HERO_05_ERROR_TAUNT	A minion with Taunt is in the way.		VO_HERO_05_ERROR11_20.wav
GAMEPLAY_EMOTE_HERO_05_EVENT_LUNAR_NEW_YEAR	Happy New Year!		VO_HERO_05_Event_LunarNewYear.wav
GAMEPLAY_EMOTE_HERO_05_WINTERVEIL_GREETINGS	Happy Feast of Winter Veil!		VO_HERO_05_HAPPY_HOLIDAYS_14.wav
GAMEPLAY_EMOTE_HERO_05_FIRE_FESTIVAL	Happy Midsummer.		VO_HERO_05_FIRE_FESTIVAL_32.wav
GAMEPLAY_EMOTE_HERO_05_PIRATE_DAY	Unleash the swarthy sea dogs!		VO_HERO_05_PIRATE_DAY_33.wav
GAMEPLAY_EMOTE_HERO_05_HALLOWS_END	Happy Hallow's End.		VO_HERO_05_HAPPY_HALLOWEEN_13.wav
GAMEPLAY_EMOTE_HERO_05_NOBLEGARDEN	Happy Noblegarden!		VO_HERO_05_HAPPY_NOBLEGARDEN_17.wav
GAMEPLAY_EMOTE_HERO_05_GREETINGS_RESPONSE	Hail!		VO_HERO_05_MIRROR_GREETINGS_02.wav
VO_HERO_05_HAPPY_NEW_YEAR_15	Happy New Year!		VO_HERO_05_HAPPY_NEW_YEAR_15

# HERO_06 is Malfurion Stormrage (Druid)
GAMEPLAY_EMOTE_HERO_06_CONCEDE	I concede to you.		VO_HERO_06_Concede_07.wav
GAMEPLAY_EMOTE_HERO_06_GOOD_GAME	Good Game.		VO_HERO_06_GG_15.wav
GAMEPLAY_EMOTE_HERO_06_GREETINGS	My greetings.		VO_HERO_06_Greetings_01.wav
GAMEPLAY_EMOTE_HERO_06_LOW_CARDS	I'm almost out of cards!		VO_HERO_06_LowCards_18.wav
GAMEPLAY_EMOTE_HERO_06_NO_CARDS	I'm out of cards!		VO_HERO_06_NoCards_19.wav
GAMEPLAY_EMOTE_HERO_06_OOPS	A natural mistake.		VO_HERO_06_Oops_03.wav
GAMEPLAY_EMOTE_HERO_06_SORRY	Sorry about that.		VO_HERO_06_Sorry_06.wav
GAMEPLAY_EMOTE_HERO_06_START	I must protect the wild!		VO_HERO_06_Start_09.wav
GAMEPLAY_EMOTE_HERO_06_START_TYRANDE	My beloved Tyrande.		VO_HERO_06_TYRANDE_36
VO_Hero_06_Male_NightElf_Start_Illidan_01	You have much to answer for.
GAMEPLAY_EMOTE_HERO_06_MIRROR_START	Nature must be preserved!		VO_HERO_06_MIRROR_START_01
GAMEPLAY_EMOTE_HERO_06_THANKS	My thanks to you.		VO_HERO_06_Thanks_05.wav
GAMEPLAY_EMOTE_HERO_06_THINK1	Hmmm...		VO_HERO_06_Thinking1_12.wav
GAMEPLAY_EMOTE_HERO_06_THINK2	Hmmm... I wonder...		VO_HERO_06_Thinking2_13.wav
GAMEPLAY_EMOTE_HERO_06_THINK3	What to do...		VO_HERO_06_Thinking3_14.wav
GAMEPLAY_EMOTE_HERO_06_THREATEN	Nature will rise against you!		VO_HERO_06_Threaten_04.wav
GAMEPLAY_EMOTE_HERO_06_TIMER	Time waits for no one!		VO_HERO_06_Time_11.wav
GAMEPLAY_EMOTE_HERO_06_WELL_PLAYED	Hmm, Well played.		VO_HERO_06_Well Played_02.wav
GAMEPLAY_EMOTE_HERO_06_WOW	Spectacular!		VO_HERO_06_WOW_06.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_FULL_MINIONS	I have too many minions.		VO_HERO_06_ERROR07_26.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_GENERIC	I can't do that.		VO_HERO_06_ERROR12_31.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_HAND_FULL	My hand is too full!		VO_HERO_06_ERROR06_25.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_I_ATTACKED	I already attacked.		VO_HERO_06_ERROR04_23.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_JUST_PLAYED	Give that minion a turn to get ready.		VO_HERO_06_ERROR05_24.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_MINION_ATTACKED	That minion already attacked.		VO_HERO_06_ERROR03_22.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_NEED_MANA	I don't have enough Mana.		VO_HERO_06_ERROR02_21.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_NEED_WEAPON	I need a weapon.		VO_HERO_06_ERROR02_20.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_PLAY	I can't play that.		VO_HERO_06_ERROR08_27.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_STEALTH	I can't target Stealthed minions.		VO_HERO_06_ERROR09_28.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_TARGET	That's not a valid target.		VO_HERO_06_ERROR10_29.wav
GAMEPLAY_EMOTE_HERO_06_ERROR_TAUNT	A minion with Taunt is in the way.		VO_HERO_06_ERROR11_20.wav
GAMEPLAY_EMOTE_HERO_06_EVENT_LUNAR_NEW_YEAR	Happy New Year!		VO_HERO_06_Event_LunarNewYear.wav
GAMEPLAY_EMOTE_HERO_06_WINTERVEIL_GREETINGS	Happy Feast of Winter Veil.		VO_HERO_06_HAPPY_HOLIDAYS_14.wav
GAMEPLAY_EMOTE_HERO_06_FIRE_FESTIVAL	Happy Midsummer! Beware of forest fires.		VO_HERO_06_FIRE_FESTIVAL_32.wav
GAMEPLAY_EMOTE_HERO_06_PIRATE_DAY	Yarrrrr!		VO_HERO_06_PIRATE_DAY_33.wav
GAMEPLAY_EMOTE_HERO_06_HALLOWS_END	Happy Hallow's End!		VO_HERO_06_HAPPY_HALLOWEEN_13.wav
GAMEPLAY_EMOTE_HERO_06_NOBLEGARDEN	Happy Noblegarden!		VO_HERO_06_HAPPY_NOBLEGARDEN_17.wav
GAMEPLAY_EMOTE_HERO_06_GREETINGS_RESPONSE	Salutations.		VO_HERO_06_MIRROR_GREETINGS_02.wav
VO_HERO_06_HAPPY_NEW_YEAR_15	Happy New Year!		VO_HERO_06_HAPPY_NEW_YEAR_15

# HERO_07 is Gul'dan (Warlock)
GAMEPLAY_EMOTE_HERO_07_CONCEDE	You win... this time.		VO_HERO_07_Concede_07.wav
GAMEPLAY_EMOTE_HERO_07_GOOD_GAME	Good Game.		VO_HERO_07_GG_15.wav
