TAG	TEXT	COMMENT
PRESENCE_STATUS_ADVENTURE_CHOOSING_MODE	Procurando uma aventura individual	
PRESENCE_STATUS_ADVENTURE_SCENARIO_PLAYING_GAME	{0}	{0} replaced with the specific scenario string, via PRESENCE_SCENARIO_NAXX_*
PRESENCE_STATUS_ADVENTURE_SCENARIO_SELECT	{0}	{0} replaced with the adventure mode, via PRESENCE_ADVENTURE_MODE_*, e.g. Naxxramas (Heroic) -- (originally i wanted it to say "Mission Select: Naxxramas Class Challenge" but this got too long for the UI element.)
PRESENCE_STATUS_ARENA_FORGE	Forjando um Deck da Arena	
PRESENCE_STATUS_ARENA_GAME	Batalhando na Arena	
PRESENCE_STATUS_ARENA_IDLE	Passando um tempo na Arena	
PRESENCE_STATUS_ARENA_PURCHASE	Considerando entrar na Arena	
PRESENCE_STATUS_ARENA_QUEUE	Procurando um oponente na Arena	
PRESENCE_STATUS_ARENA_REWARD	Obtendo recompensas da Arena	
PRESENCE_STATUS_COLLECTION	Dando uma olhada na coleção	
PRESENCE_STATUS_CRAFTING	Criando alguns cards	
PRESENCE_STATUS_DECKEDITOR	Criando um deck	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	Preparando-se para enfrentar um amigo	
PRESENCE_STATUS_FRIENDLY_GAME	Enfrentando um amigo	
PRESENCE_STATUS_HUB	Passando um tempo no menu principal	
PRESENCE_STATUS_LOGIN	Iniciando o jogo	
PRESENCE_STATUS_PACKOPENING	Abrindo pacotes de cards!!!!	
PRESENCE_STATUS_PLAY_DECKPICKER	Entrando no Modo Jogo	
PRESENCE_STATUS_PLAY_GAME	Batalhando no Modo Jogo!	
PRESENCE_STATUS_PLAY_QUEUE	Procurando um oponente	
PRESENCE_STATUS_PRACTICE_DECKPICKER	Entrando no Modo de Treinamento	
PRESENCE_STATUS_PRACTICE_GAME	Treinando contra o Estalajadeiro	
PRESENCE_STATUS_QUESTLOG	Dando uma olhada no Registro de missões	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_BRM_CLASS_CHALLENGE	Assistindo a um Desafio de Classe de Rocha Negra!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_BRM_HEROIC	Assistindo a uma partida Heroica de Rocha Negra!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_BRM_NORMAL	Assistindo a uma batalha de Rocha Negra!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_NAXX_CLASS_CHALLENGE	Assistindo a um Desafio de Classe de Naxxramas!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_NAXX_HEROIC	Assistindo a uma partida de Naxxramas Heroico!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_NAXX_NORMAL	Assistindo a uma batalha de Naxxramas!	
PRESENCE_STATUS_SPECTATING_GAME_ARENA	Assistindo a uma batalha de Arena	
PRESENCE_STATUS_SPECTATING_GAME_FRIENDLY	Assistindo a uma batalha amistosa	
PRESENCE_STATUS_SPECTATING_GAME_PLAY	Assistindo a uma batalha no Modo Jogo	
PRESENCE_STATUS_SPECTATING_GAME_PRACTICE	Assistindo a uma partida de treinamento	
PRESENCE_STATUS_SPECTATING_GAME_TUTORIAL	Assistindo a uma partida de tutorial	
PRESENCE_STATUS_STORE	Dando uma olhada na Loja	
PRESENCE_STATUS_TUTORIAL_GAME	Tentando derrotar {0}	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_TUTORIAL_PREGAME	Jogando pela primeira vez	
PRESENCE_STATUS_WELCOMEQUESTS	Considerando novas missões!	
PRESENCE_TUTORIAL_CHO	Andarilho das Lendas Cho	
PRESENCE_TUTORIAL_HEMET	Rosarães Guima	
PRESENCE_TUTORIAL_HOGGER	Hogger	
PRESENCE_TUTORIAL_ILLIDAN	Illidan Tempesfúria	
PRESENCE_TUTORIAL_MILLHOUSE	Millhouse Manavento	
PRESENCE_TUTORIAL_MUKLA	Rei Mukla	
